 SO type,GenBank feature type,SBOL Visual type,Pigeon type,ICE color,GraphViz Node Shape,Notes
SO_0000001,misc_feature,User Defined,s,2,,"""spacer"" symbol in pigeon, does not have graphviz"
SO_0000001,misc_feature,User Defined,?,2,box,
SO_0000001,misc_feature,User Defined,>,1,box,
SO_0000001,misc_feature,3ê Sticky Restriction Site,?,2,,needs graphviz node shape
SO_0000001,misc_feature,5ê Sticky Restriction Site,?,2,restrictionsite,
SO_0000001,misc_feature,Ribonuclease Site,?,2,ribosite,
SO_0000001,misc_feature,Signature,?,2,signature,
SO_0000002,misc_structure,User Defined,?,2,box,
SO_0000005,satellite,User Defined,?,2,box,
SO_0000013,scRNA,User Defined,?,2,box,
SO_0000019,stem_loop,User Defined,?,2,box,
SO_0000057,operator,Operator,o,13,square,
SO_0000104,protein,User Defined,?,2,box,
SO_0000109,variation,User Defined,?,2,box,
SO_0000110,misc_feature,User Defined,?,2,box,
SO_0000112,primer,User Defined,?,2,box,
SO_0000139,RBS,Ribosome Entry Site,r,13,utr,
SO_0000140,attenuator,User Defined,?,2,box,
SO_0000141,terminator,Terminator,t,6,terminator,
SO_0000141,terminator,Terminator,T,6,terminator,
SO_0000147,exon,User Defined,?,2,box,
SO_0000149,source,User Defined,?,2,box,
SO_0000155,plasmid,User Defined,?,2,box,
SO_0000165,enhancer,User Defined,?,2,box,
SO_0000167,promoter,Promoter,p,4,promoter,
SO_0000167,promoter,Promoter,P,4,promoter,
SO_0000172,CAAT_signal,User Defined,?,2,box,
SO_0000173,GC_signal,User Defined,?,2,box,
SO_0000174,TATA_signal,User Defined,?,2,box,
SO_0000175,-10_signal,User Defined,?,2,box,
SO_0000176,-35_signal,User Defined,?,2,box,
SO_0000178,operon,User Defined,?,2,box,
SO_0000185,precursor_RNA,User Defined,?,2,box,
SO_0000185,prim_transcript,User Defined,?,2,box,
SO_0000188,intron,User Defined,?,2,box,
SO_0000204,5'UTR,User Defined,?,2,box,
SO_0000205,3'UTR,User Defined,?,2,box,
SO_0000233,misc_RNA,User Defined,?,2,box,
SO_0000234,mRNA,User Defined,?,2,box,
SO_0000252,rRNA,User Defined,?,2,box,
SO_0000253,tRNA,User Defined,?,2,box,
SO_0000274,snRNA,User Defined,?,2,box,
SO_0000275,snoRNA,User Defined,?,2,box,
SO_0000286,LTR,User Defined,?,2,box,
SO_0000296,rep_origin,Origin of Replication,z,13,circle,
SO_0000297,D-loop,User Defined,?,2,box,
SO_0000298,misc_recomb,User Defined,?,2,box,
SO_0000305,modified_base,User Defined,?,2,box,
SO_0000313,stem_loop,User Defined,?,2,box,
SO_0000316,CDS,CDS,c,8,cds,
SO_0000323,start,User Defined,?,2,box,
SO_0000324,tag,User Defined,?,2,box,
SO_0000327,stop,User Defined,?,2,box,
SO_0000331,STS,User Defined,?,2,box,
SO_0000409,misc_binding,User Defined,?,2,box,
SO_0000410,protein_bind,User Defined,?,2,box,
SO_0000413,misc_difference,User Defined,?,2,box,
SO_0000417,protein_domain,User Defined,?,2,box,
SO_0000418,sig_peptide,User Defined,?,2,box,
SO_0000419,mat_peptide,User Defined,?,2,box,
SO_0000458,D_segment,User Defined,?,2,box,
SO_0000470,J_region,User Defined,?,2,box,
SO_0000551,polyA_signal,User Defined,?,2,box,
SO_0000553,polyA_site,User Defined,?,2,box,
SO_0000555,5'clip,User Defined,?,2,box,
SO_0000557,3'clip,User Defined,?,2,box,
SO_0000627,misc_feature,Insulator,|,2,insulator,
SO_0000657,repeat_region,User Defined,?,2,box,
SO_0000673,misc_RNA,User Defined,?,2,box,
SO_0000704,gene,User Defined,?,2,box,
SO_0000723,iDNA,User Defined,?,2,box,
SO_0000724,oriT,User Defined,?,2,box,
SO_0000725,transit_peptide,User Defined,?,2,box,
SO_0000726,repeat_unit,User Defined,?,2,box,
SO_0000730,gap,User Defined,?,2,box,should be spacer symbol in pigeon?
SO_0000856,conserved,User Defined,?,2,box,
SO_0001017,s_mutation,User Defined,?,2,box,
SO_0001023,allele,User Defined,?,2,box,
SO_0001054,transposon,User Defined,?,2,box,
SO_0001060,variation,User Defined,?,2,box,
SO_0001645,misc_marker,User Defined,?,2,box,
SO_0001687,misc_feature,Restriction Enzyme Recognition Site,x,2,,needs graphviz node shape
SO_0001691,misc_feature,Blunt Restriction Site,?,2,,needs graphviz node shape
SO_0001833,V_region,User Defined,?,2,box,
SO_0001834,C_region,User Defined,?,2,box,
SO_0001835,N_region,User Defined,?,2,box,
SO_0001836,S_region,User Defined,?,2,box,
SO_0001932,misc_feature,3ê Overhang,3,2,threepoverhang,
SO_0001933,misc_feature,5ê Overhang,5,2,fivepoverhang,
SO_0001953,misc_feature,Assembly Scar,?,2,assembly,
SO_0001955,misc_feature,Protein Stability Element,?,2,proteinstab,
SO_0001956,misc_feature,Protease Site,?,2,proteasesite,
SO_0001957,misc_feature,RNA Stability Element,?,2,rnastab,
SO_0005836,misc_signal,User Defined,?,2,box,
SO_0005850,primer_bind,Primer Binding Site,?,2,primersite,
SO_2000061,source,User Defined,?,2,box,
